ENTITY	CUI
Arabinose	C0003682
5-Hydroxypicolinaldehyde Thiosemicarbazone	C1521421
Bos taurus pancreas preparation	C3488935
Tums	C0723950
N,N-bis(2-hydroxyethyl)aminoethanesulfonic acid	C0053353
Alexa fluor 546	C1434426
Nitrilotriacetic Acid	C0028132
Affi-Gel 10	C0050919
alpha-ketoglutaric acid	C0051395
pantothenate	C0178793
ethane sulfonate	C0206794
thiophene-2-carboxylate	C0076504
Carbenicillin	C0006976
tris(2-carboxyethyl)phosphine	C0215706
4-(2-aminoethyl)benzenesulfonylfluoride	C0047895
methanol solution	C3191774
Cryoprotective Agents	C0010406
Ribose	C0035549
globotriaosyl lysosphingolipid	C0082711
Ninhydrin	C0028098
Carglumic acid	C1318649
MEGA-10	C0127419
Prenatal vitamin	C0772413
salicylhydroxamic acid	C0073980
4-Aminobutyrate	C1291216
alpha-hydroxyglutarate	C0051380
benzoylamido-4'-aminostilbene-2,2'-disulfonate	C0053267
7-aminoactinomycin D	C0049832
DEXTROSE SOLUTION	C1165603
Texas red	C0076359
Insulin, Long-Acting	C0304870
HPA-I	C0122300
galactocerebroside	C0060955
Immobilon	C0063412
Trizma	C0733358
monochlorobimane	C0066736
Butadiene	C0006469
Metalloporphyrins	C0025541
triton x solution	C3191785
fluoro-jade C	C2603459
C 27	C0602396
Subutex	C0006404
Poly D	C0722666
Lioresal Intrathecal	C0721369
Swainsonine	C0085535
isoprene	C0064044
Monensin	C0026408
5-(6)-carboxyfluorescein diacetate succinimidyl ester	C0254579
SLe(x)	C0253304
Allegro	C1567501
Congo Red	C0009742
Dicentra formosa, flower essence	C1256202
Integrator, veterinary brand name drug	C0309311
9-hydroxyphenylfluoron	C0164250
N-(2-aminoethyl)-5-isoquinolinesulfonamide	C0067456
Dolichol Phosphates	C0012993
Carboxylic ester	C2316835
dolichoic acid	C0663992
isopentenyl pyrophosphate	C0064030
solanesyl pyrophosphate	C0084584
undecaprenyl pyrophosphate	C0256598
isopentenol	C0165057
Rhamnose	C0035417
mannopyranosyl-(1-4)-2-acetamido-2-deoxyglucopyranosyl-(1-4)-2-acetamido-2-deoxyglucopyranose	C0755096
Glc3Man9GlcNAc2-PP-Dol	C1957446
Proteasome inhibitor	C1443643
sulforafan	C0163159
carfilzomib	C2001856
Gamma globulin serum	C0305052
6H,8H-3,4-dihydropyrimido(4,5-c)(1,2)oxazin-7-one	C0378444
Sodium Acetate	C0142785
tricaine	C0077027
Alcian Blue	C0001933
Methylcellulose	C0025729
chloroacetamide	C0055383
Empore	C0601898
Z-200	C0602423
hexafluoroisopropanol	C0062622
Filipin	C0016095
4,4-difluoro-1,3,5,7,8-pentamethyl-4-bora-3a,4a-diaza-s-indacene	C2352045
Baker's Antifol	C0950301
gossypetin	C0061822
2-cyano-3,12-dioxoolean-1,9-dien-28-oic acid	C0762434
Suramin Sodium	C0813205
A/T/S	C0718146
Dietary Flavonoid	C2348265
rhamnetin	C0084332
purpurogallin	C0072624
tricetin	C1172894
theaflavin	C0076379
4-methoxybenzophenone	C3252539
ethylnorepinephrine	C0602107
2,4-diaminophenol	C0045475
Tropolone	C0041196
theaflavin digallate	C0173332
tolrestat	C0076808
Ranirestat	C3266874
imirestat	C0063406
zopolrestat	C0085066
sorbinil	C0074909
ponalrestat	C0071716
alrestatin	C0051486
Rhodanine	C0035486
Maltose	C0024658
Close Up	C2946173
2-diethylaminoethanol	C0046079
5-fluoroorotic acid	C0049186
alpha-cyano-4-hydroxycinnamic acid	C0102508
Monocarboxylate	C2316841
BAY 11-7082	C0969281
BX795	C3659838
ruxolitinib	C2931926
Ifosfamide	C0020823
Page blue 83 stain	C0303893
chitobiose	C0055316
Immunoglobulin G, Human	C2702333
N-acetylmannosamine	C0067742
6'-sialyllactose	C0911924
Carbohydrate supplementation (product)	C0556103
mannosamine	C0065680
N-acetylgalactosamine-1-phosphate	C0758911
Fatty Acids, Omega-6	C0133860
Ribitol	C0035526
bisindolylmaleimide VIII	C1143185
alpha-aminopyridine	C0051326
Phosphate salt	C0302950
methylphosphonic acid	C0128256
6-amino-1-hydroxyhexane-1,1-diphosphonate	C0049482
Glucosephosphates	C0017761
rosaniline hydrochloride	C0950459
cornstarch	C1384515
Fat soluble vitamin product	C0259753
galactose-1-phosphate	C0060974
Sugars, Dietary	C0376596
oligomannoside	C0069433
TM -50	C0310363
TM -10	C0310362
Complement Inactivating Agents	C1564892
lumacaftor	C3852684
Cation Exchange Resins	C0007445
Dowex	C0058714
sodium carbonate	C0074732
sulfosuccinimidyl-2-(biotinamido)ethyl-1,3-dithiopropionate	C0300063
Nonionic detergent	C0301242
N 30	C0632490
sulfo-N-hydroxysuccinimide-biotin	C0084682
Saposin D	C0074043
Z-360	C1831827
Natrium fluoratum, sodium fluoride, Homeopathic preparation	C1171560
peridinin	C0070419
Chlorophyll	C0008260
proaerolysin	C0541232
N acetylhexosamine	C0597000
globotriaosylceramide	C0061338
globotriose	C0755293
Immune Globulin (Human)	C0358321
delta-1-pyrroline-5-carboxylate	C0057334
Erythritol	C0014757
erythronic acid	C0909393
4,4'- bis(4-anilino-6-amino)-2,2'-stilbenedisulfonic acid	C0614728
Palovarotene	C2745017
Bromelains	C0006217
Tetanus immune globulin, human	C0305058
Diacetyl	C0011889
becatecarin	C0936065
lipid structure	C0596845
electrolyte solution	C3853872
Solo	C3537732
calcium phosphate	C0006711
Hymecromone	C0020411
Iscover	C1174747
dihydrodibutylstilbestrol	C0058063
Charcoal	C0007955
Pefabloc	C0282730
4-(2,5,5-trimethyl-4-aza-2-mercaptohexyl)-6,6-dimethyl-2-thiomorpholinone	C0257175
guanidinoacetate	C0120451
salubrinal	C1566074
yellow-1	C0629561
Carbonyldiamide	C1291218
5'-chloroacetamido-5'-deoxythymidine	C0626910
Fructosephosphates	C0016765
AMP-activated protein kinase kinase	C0252214
2-hydroxyethidium	C1685089
DC Red No. 8	C1096868
ribitol-5-phosphate	C0620982
perseitol	C0070472
Neuraminic acid	C0027801
Vinyl Chloride	C0042684
Hepatitis B Surface Antigens	C0019168
Puregon	C0593515
Menopur	C0595531
Pregnyl	C0699381
3'-deoxy-5-(cyanine dye 5)uridine 5'-trisphosphate	C0258273
3'-deoxy-5-(cyanine dye 3)uridine 5'-trisphosphate	C0258270
estradiol valerate	C0059623
cyclo-progynova	C0591307
progesterone, micronized	C0873071
Utrogestan	C1515400
jacalin	C0064133
Tn antigen	C0076765
polymannose	C0385079
Glucosylceramides	C0017770
cytidine monophosphate-N-glycoloylneuraminic acid	C0056906
Sugars and carbohydrates	C1305874
DEAE-Cellulose	C0011050
p-dimethylaminobenzaldehyde	C0521882
Neutral Glycosphingolipids	C0600570
Phosphoric acid solution	C1289968
concanavalin A-sepharose	C0056230
Barium Acetate	C1654082
sulfosuccinimidyl 6-(biotinamido)hexanoate	C0075599
FuGene	C0916399
luciferin	C0024076
4-nitrophenylphosphate	C0134796
pomiferin	C1259063
Aminacrine	C0002503
butopyronoxyl	C0107512
Clindamycin	C0008947
Dyphylline	C0013360
lumefantrine	C0531104
1,4-dihydroxyanthraquinone	C0044011
Lincosamide Antibiotic	C2826567
Folic Acid Antagonists	C0016411
methyl 2-cyano-3,12-dioxoolean-1,9-dien-28-oate	C1100924
3-methoxycatechol	C0080981
Vals	C1529218
11-keto-9(E),12(E)-octadecadienoic acid	C0767870
Galactosylceramides	C0016960
casein hydrolysate	C0054845
Dibasic potassium phosphate	C0138037
Galactosides	C0016956
incomplete Freund's adjuvant	C0281643
N-hydroxysuccinimide	C0068051
NE 100	C0248069
tetraethylpyrazine	C0145334
51 C	C0049376
1,2-dioleoyl-sn-glycero-3-phosphoglycerol	C0043840
N,N-bis(2-hydroxyethyl)glycine	C0067332
POLYETHYLENE GLYCOL 200	C0982313
M15 protein	C0168944
Z 350	C0908781
Magnesium chloride hexahydrate	C0724622
potassium sulfate	C0071780
ferric ammonium citrate	C0060228
bovine serum albumin fraction v	C1646313
Clavulanate	C0110038
Solon	C0142991
Calcifediol	C0006657
ammonium carbonate	C0051711
1-amino-8-nephthol-2, 2'-disulfonic acid	C1121424
tributylamine	C0077023
THYROID (BEEF)	C1118156
Dowex 50	C0527400
3-(3,5-dichlorophenyl)-1-methyl-2,5-pyrrolidinedione	C0641798
Danio rerio egg preparation	C3486748
8-Bromo Cyclic Adenosine Monophosphate	C0000661
homocamptothecin	C0769341
2-(5-(3-fluorophenyl)-1H-pyrazol-3-yl)-5-methylphenol	C3490522
dolichal	C0389238
Gibberellins	C0017538
sperm ganglioside 2	C0648570
biotinyltyramide	C0673361
sperm ganglioside 1	C0648568
triacetyluridine	C0281351
2-acetamido-2-deoxy-mannose-6-phosphate	C0967526
n-Acetyl mannosamine	C0301677
N-acetylmannosamine 6-phosphate	C3252664
Antibodies, Bispecific	C0206492
Thomsen-Friedenreich antigen	C0053438
iodixanol	C0063757
Moxalactam	C0026651
mesalamine	C0127615
nimesulide	C0132515
ipsapirone	C0123905
nifekalant	C2350374
eltrombopag	C1831905
iocetamic acid	C0650160
Dihydrofolate Reductase Inhibitors	C2911817
Nialamide	C0027999
Levalbuterol	C0772501
Tridihexethyl chloride	C0135557
MLN2238	C3467949
NSC 632839	C1744194
Lithium acetate	C0125995
phenylpyruvic acid	C0031499
Gluconates	C0017714
R-516	C0701046
Shiga Toxin	C0074447
Sepharose CL 4B	C0074345
Collodion	C0009356
Clarus	C3473406
phosphate ester	C0599126
2-aminoacridone	C0092547
Hexosephosphates	C0019493
Zinc Acetate	C0149368
Sulfoglycosphingolipids	C0038727
Neutral fat	C0392693
TC 13	C0075874
anacetrapib	C2604745
TRYPSIN-CHYMOTRYPSIN	C0993235
chloroflurenol-methyl	C0055412
valpronic acid	C0078004
Ergenyl	C0700659
Iletin I	C3180941
Modus	C1449955
Orange G	C0069591
mannosyl(3)-N-acetyl(2)glucose	C3502481
galactosyll(1,3)-N-acetylgalactosamine	C0283181
Gentamicins	C0017436
3-azido-2,7-naphthalene disulfonate	C0047247
inositol phosphate glycan	C0063611
castanospermine	C0054849
CP 91149	C0671834
AP20187	C1142708
Dichlorodiphenyl Dichloroethylene	C0011038
Oxalic Acid	C0069715
Povidone-Iodine	C0032857
Pravastatin	C0085542
Cytochalasin D	C0010738
Cytochalasin B	C0010737
SC-1 monoclonal antibody	C0672453
A-301	C0918275
Staphylococcal protein A-sepharose	C0075172
OptiPrep	C3642362
Sevin	C0795716
ethanolamine plasmalogens	C0116719
Vitamin K 1	C0031862
arachis oil	C0052300
Konakion	C0591689
trisodium citrate	C0795671
ethylenediaminetetraacetate	C0178627
Tranexamic Acid	C0040613
trierucate	C0077088
Cinna	C1000982
Prostaglandins B	C0033557
glycolic acid	C1533643
dimethyl ether	C0058217
Amylose	C0002732
Tryptar preparation	C0544421
4-phenylenediamine	C0048678
Ozurdex	C2702456
Pristanate	C0552580
All-Trans-Retinol	C0087161
Univer	C0730931
Octoxynol-9	C0133689
triethylenediamine	C0077102
4-ethoxymethylene-2-phenyl-2-oxazoline-5-one	C0768581
Fusion inhibitor	C1275666
nickel nitrilotriacetic acid	C0256984
diethylenetriamine	C0057951
gadodiamide	C0082646
Agent M	C0647035
drosopterin	C0058757
KL 3	C0064375
Chitin	C0008141
Fuchsin acid stain	C0252873
methyl salicylate	C0066282
Hygromycin B	C0020406
Progens	C1618332
Cholestanols	C0008368
lyso-platelet activating factor	C0244078
Mineral Oil	C0026156
acetyl chloride	C0216046
stains-all	C0075154
Edan	C0058941
dichlorofluorescin	C0965324
Dihydroxyacetone	C0012322
Alexa 350	C0893629
leucinal	C0064781
sunflower seed oil	C0075639
Neofluor	C1564850
Formol	C0016584
Paromomycin	C0030576
CM-118	C3885129
isopropyl methylphosphonic acid	C0164498
Comite	C0110515
Magnetis poli ambo homeopathic preparation	C0885556
piperazine-N,N'-bis(2-ethanesulfonic acid)	C0071109
xylene cyanol	C0377925
PS 5	C0072520
HEXANEDIOL	C3255677
rayon	C0072988
antibiotic PS 8	C0616908
acetic anhydride	C0000986
herring sperm DNA	C3486689
1-(saligenin cyclic phospho)-9-biotinyldiaminononane	C0257357
Dig-3	C0627411
Tris-borate-EDTA buffer	C0146923
isopentyl alcohol	C0064032
Ethidium	C0015008
Myristic Acid	C0027138
Tylenol	C0699142
meclocycline	C0065841
Topotecan	C0146224
gemcitabine	C0045093
bisindolylmaleimide	C0256431
Chromomycin	C0520455
Karnovsky's fixative	C1550075
CYBERLINDNERA JADINII RNA	C3663395
Hyaluronidase, Bovine	C1615665
D 41	C0111936
Formvar	C0950318
ESE-16	C3852530
Endo-Porter	C1722709
diisopropyl ether	C0058159
Perflutren	C0937858
M 140	C0536753
nonidet	C0068940
FAR 90X2	C3467746
Methyl Green	C0025701
nuclear yellow	C0069130
biotin 1	C0289327
TR-2 mycotoxin	C0619562
Spirit soluble aniline blue stain	C1260876
Alkanes	C0002065
methyl acetoacetate	C0066222
carboxymethyl dextran	C0054746
Constant-T	C0700845
LR 16	C0065203
3-aminopropyl triethoxysilane	C1871708
tricaine methane sulfonate (CH3SO4)	C0116816
MS-222	C0129157
Inova	C1815331
phosphomolybdic acid	C0070889
DIPEA	C3254641
DACA, acridine	C0919282
9-amino-6-chloro-2-methoxyacridine	C0050195
Crescendo	C3273442
dimethylbusulfan	C0058272
sephadex	C0074343
Heparin, Low-Molecular-Weight	C0019139
sultamicillin	C0075629
AF 3	C0606084
phosphoramidite	C0969469
coronin, Annona muricata	C1098824
Foy	C0086325
Nefopam	C0027556
Ethisterone	C0015025
sarkosyl	C0074071
phenol blue	C2975322
Sepharose 4B	C0036682
Superose 12	C0075646
blue dextran	C0053855
Kato	C0721226
diacetylmonoxime	C0057676
Flunazine	C1724712
Acepromazine	C0000959
Interferon Alfa-2a	C0021734
Opioid anesthetics	C3653538
fondaparinux	C1098510
FapyAde	C0284703
M 280	C0622992
Imidazole acetic acid	C1291089
erythrose	C0014823
K.R.S.	C0309366
isohomovanillic acid	C0063982
Ella	C2927379
Ringer's solution	C0073386
parylene	C0070131
6,7-dinitroquinoxaline-2,3-dione	C0114721
Insulin Aspart	C1708521
NovoLog	C0939412
TA-03	C0075757
KB 11	C0629286
calcium proteins	C2064889
lomofungin	C0065163
dilomofungin	C3851669
phenol	C0070570
thiazole orange	C0076422
emtansine	C3657914
carboxyfluorescein	C0108453
Protein supplement	C0770246
Gallus spp. extract	C1445304
Zoletil	C0149474
Isochron	C1170358
CONCORD V	C0308715
Dagan	C1449906
Recombinant Fibroblast Growth Factor-2	C1522505
DM102	C3177788
3-(2'-(spiro-5-chloroadamantane))-4-methoxy-4-(3''-phosphoryloxy)phenyl-1,2-dioxetane	C0379078
Poly-5	C0632406
Regular Insulin, Human	C0795635
Recombinant Interferon Alfa	C0751598
1-methyl-1-piperidinomethane sulfonate	C0661318
Giemsa stain	C0017542
Estrogen Receptor Antagonists	C3850168
indo-1	C0063477
Tetraethylammonium Chloride	C0145330
Nondepolarizing agent	C0304435
Insulin, Beef	C0304866
deflazacort	C0057258
vernakalant	C2001572
XEN-D0101	C3712779
Ketamine Hydrochloride	C0700541
Phenylephrine Hydrochloride	C0031470
Hepatitis A Antigens	C0062523
Thiotepa	C0039871
Myleran	C0700015
Plicamycin	C0026234
fludarabine	C0059985
HER-2-neu peptide vaccine	C0879250
3-(2-carboxyindol-3-yl)propionic acid	C0080911
N-propionylprocainamide	C0068273
Class Ia antiarrhythmic drug	C0304503
Glucose, (L)-Isomer	C0022840
4-Aminobenzoic Acid	C0000473
Creatinine Sulfate Salt	C0010295
Krebiozen	C0022785
Recombinant Growth Hormone	C0376560
Bomathal	C2830188
Gingera	C3154166
MB 3	C0602254
Betadine	C0699524
Mepivacaine	C0025384
Fast Green	C0060086
Acetilcolina Cusi	C1448335
Acetylcholine Sulfate (1:1)	C0887518
Acetylcholine Hydroxide	C0887519
Acetylcholine Fluoride	C0887520
Acetylcholine Perchlorate	C0887522
Acetylcholine Iodide	C0887517
Acetylcholine L-Tartrate	C0887521
Acetylcholine Picrate (1:1)	C0085739
Miochol	C0282037
Calcium Antagonists, Exogenous	C3849987
Cholinesterase Inhibitors, Irreversible	C0008426
Cholinesterase Inhibitors, Reversible	C0008427
Cortancyl	C0740143
Encortone	C0740147
Prednison Acsis	C1564195
Sone	C1564199
Winpred	C1564200
Cortan	C1564189
Rectodelt	C1564198
Apo-Prednisone	C1564188
Cutason	C1564190
Panasol	C1564191
Predni Tablinen	C1564192
Prednison Galen	C1564196
Prednison Hexal	C1564197
Meticorten	C0728770
Decortin	C1514369
Orasone	C0728771
Liquid Pred	C0728769
Prednidib	C1514380
Predniment	C1514382
Ultracorten	C0740151
Deltasone	C0740144
Pronisone	C0740153
Enkortolon	C0740148
Kortancyl	C0740152
Decortisyl	C0591330
4-Aminopyridine Sustained Release	C1449659
VMI-103	C0878241
amifampridine phosphate	C2917064
Firdapse	C4087026
amifampridine	C0046948
Ruzurgi	C5187562
Tensilon	C0699082
Edrophonium Bromide	C0013616
Adrenergic Neuron Agents	C0001647
Adrenergic Neurohumor Depleters	C0282481
Adrenergic Synthesis Inhibitors	C0242175
Adrenergic Release Inhibitors	C0376240
Sympathetic Transmitter Releasers	C0039046
Sal-Phedrine	C1569510
ephedrine hydrochloride	C0304425
ephedrine sulfate	C0304426
Ephedrine Renaudin	C1569511
neostigmine bromide	C0282261
Polstigmine	C0032399
Syntostigmine	C0039124
Bi-58	C0878178
nicotine bitartrate	C0028042
PD 114720	C0163998
CI 940	C0163996
leptomycin B	C0064771
Aminophenols	C0002573
glyoxal bis(2-hydroxyanil)	C0061756
Quinora	C0034436
Abufne	C1448340
cysteine hydrochloride	C0724565
Lilly-110140	C0543453
Sarafem	C1692877
Quincardine	C1564020
Apo-Quinidine	C1564019
Quinidex	C1564021
Adaquin	C1564018
Adrenergic beta-2 Receptor Agonists	C2936789
Ventolin	C0033744
Sultanol	C0699769
Proventil	C0699770
Y 27632, (4(S)-trans)-isomer	C0960250
Neuromuscular Agents	C0027865
NKH 477	C0287702
N-(4-pyridyl)-4-(1-aminoethyl)cyclohexanecarboxamide	C0667299
Y 27632, (trans)-isomer	C0970945
Y 27632, dihydrochloride, (4(R)-trans)-isomer	C0960248
Y 27632, (4(R)-trans)-isomer	C0960249
D-Glutamate	C0112117
Nicotinic Agents	C0028050
Epicholesterol	C0014487
Propofol Fresenius	C1564283
Fresofol	C1564280
Recofol	C1564282
Propofol Abbott	C1564285
Aquafol	C1564279
Propofol-Lipuro	C1564284
Diprivan	C0678120
Ivofol	C1564281
Propofol Rovi	C1564286
ICI-35,868	C0729094
GI 87084B	C0119164
remifentanil hydrochloride	C0771827
Remifentanil Monohydrochloride	C0958782
Ultiva	C0594510
Gamimune	C0162506
Gamimune N	C0162507
Endobulin	C0086217
Gammonativ	C0086334
Gammagard	C0086333
Iveegam	C0086491
Intraglobin	C0086482
Intraglobin F	C0086483
Modified Immune Globulin (Anti-Echovirus Antibody)	C0086636
Sandoglobulin	C0086952
Venoglobulin	C0087151
Venoglobulin-I	C0087152
Venimmune	C4704924
Gamunex	C1451114
Privigen	C2342400
Intravenous Immunoglobulins, Human	C3494178
Alphaglobin	C0524776
Legatrim	C1564027
Quinbisul	C1564028
Quinine-Odan	C1564029
Quinine Lafran	C1564022
Myoquin	C1564025
Strema	C1564031
Surquina	C1564023
Biquinate	C1564024
Quinoctal	C1564030
Quinbisan	C1564026
Quinamm	C0722963
Quindan	C0034409
Quinimax	C0034416
quinine bisulfate	C0034420
carbamoylcholine	C0600175
Jestryl	C0699285
Carboptic	C0719159
Isopto Carbachol	C0306489
Carbamann	C1452462
Doryl	C1452464
Carbastat	C1452463
Miostat	C1707266
quinine hydrochloride	C0034421
Analeptics	C0242181
Angiotensin II Type 1 Receptor Blockers	C1449680
Cozaar	C0591301
MK-954	C0165616
losartan potassium	C0700492
DuP-753	C0700620
Altace	C0878061
HOE-498	C0733666
Vesdil	C1564033
Carasel	C1564032
Endorphenyl	C0751433
FG-9065	C0917871
Pyridazines	C0034250
CGP 55845A, (S-(R*,R*))-isomer	C0959398
CGP 55845A hydrochloride, (S-(R*,R*))-isomer	C0959397
CGP 55845A	C0250351
(3-((1-(3,4-dichlorophenyl)ethyl)amino)-2-hydroxypropyl)(P-benzyl)-phosphinic acid	C0250349
SR 95531	C0075113
Lekoptin	C2930751
Cordilox	C0010007
verapamil hydrochloride	C0700468
Isoptin	C0700933
Calan	C0700935
Falicard	C0015549
Dexverapamil	C0280858
Finoptin	C0729161
Hexosamines	C0019478
Antifibrillatory Agents	C0003302
Cardiac Depressants	C0027048
midazolam maleate	C0546872
midazolam hydrochloride	C0700457
Dormicum	C0013050
Ro 21-3981	C0026058
Sibazon	C0086980
Faustan	C0699191
Seduxen	C0699193
Valium	C0699187
Apaurin	C0699190
Relanium	C0699192
Diazemuls	C0699188
Stesolid	C0699189
Pyridinium Compounds	C0034256
Ubretid	C0600068
distigmine	C0012757
Membrane Transport Modulators	C1563710
Broncholytic Agents	C0085926
Sudafed	C0700727
pseudoephedrine hydrochloride	C0304430
Isoephedrine	C0022174
Catatoxic Steroids	C0007401
Bridion	C2699711
Org 25969	C1122937
sugammadex sodium	C2350811
gamma-Cyclodextrins	C0118704
Mvasi	C4694346
Avastin	C1135130
bevacizumab-awwb	C4529301
Crisomet	C1436449
Labileno	C1439343
BW-430C	C0701238
Lamictal	C0678180
Mexitil	C0600129
Novo-Mexiletine	C1563865
KO-1173	C0022760
Mexiletene	C0949360
Adrenergic beta-2 Receptor Antagonists	C2936790
Glaupax	C1448328
Acetazolam	C1448331
Ak-Zol	C1448332
Apo-Acetazolamide	C1448333
Huma-Zolamide	C1448329
Glauconox	C1448327
Edemox	C1448326
Diacarb	C0699248
Diuramide	C0699249
Acetazolamide Sodium, (Sterile)	C0282036
Acetazolamide, Monosodium Salt	C0949206
Defiltran	C1448325
Acetadiazol	C1448330
Somatofalk	C0205952
Stilamin	C0205953
Iletin	C0020884
Sodium Insulin	C0037520
Novolin	C0028467
2-deoxyglucose	C4049845
Glucose, (beta-D)-Isomer	C0887284
anhydrous dextrose	C1165353
Glucose, (alpha-D)-Isomer	C0887283
Glucose, (DL)-Isomer	C0887285
dextrose monohydrate	C0017734
Ossin	C0700807
Zymafluor	C0700806
Acignost	C0001136
Peptavlon	C0702012
Epinephrine Acetate	C0521932
Epifrin	C0699336
epinephrine bitartrate	C0700536
Epitrate	C0014564
Medihaler-Epi	C0025133
Lyophrin	C0205755
Rogitine	C0592077
Phentolamine Mono-hydrochloride	C0887688
phentolamine mesylate	C0733398
Regitine	C0136603
Dexpropranolol	C0011792
Avlocardyl	C0701364
Betadren	C0700771
Dociton	C0700770
Anaprilin	C0700773
propranolol hydrochloride	C0282321
AY-20694	C0242452
Rexigen	C0035399
Duvadilan	C0013333
isoxsuprine	C0022267
Yutopar	C0043440
DU-21220	C0013256
lidocaine hydrochloride	C0546869
Lidocaine Carbonate (2:1)	C0887219
Lidocaine Sulfate (1:1)	C0887217
Lidocaine Monoacetate	C0887218
Xylocitin	C0702203
Xylesthesin	C0702204
Lidocaine Monohydrochloride, Monohydrate	C0949344
Octocaine	C0949345
Dalcaine	C0242375
Lidocaine Hydrocarbonate	C0023663
Xyloneural	C0023664
Tocainide, (S)-Isomer	C0886768
Tocainide Monohydrochloride, (+-)-Isomer	C0886770
Tocainide Monohydrobromide, (R)-Isomer	C0886772
tocainide monohydrochloride	C0886765
Tocainide, (R)-Isomer	C0886766
Tocainide, (+-)-Isomer	C0886771
Tocainide Monohdyrochloride, (R)-Isomer	C0886767
Tonocard	C0087100
W-36095	C0728973
Tocainide Monohydrochloride, (S)-Isomer	C0886769
Pentothal	C0600350
Nesdonal	C0600349
Tiobarbital Braun	C1564349
Thiopental Nycomed	C1564347
Sodipental	C1564348
Trapanal	C0282362
Thionembutal	C0733833
Paredrine	C0795751
hydroxyamphetamine hydrobromide	C0282278
p-hydroxyamphetamine	C0030140
Methyltyramine	C0242418
metoclopramide dihydrochloride	C0887127
Cerucal	C0701450
Maxolon	C0699913
Primperan	C0242395
Rimetin	C0242396
Reglan	C0034977
cocaine hydrochloride	C0282108
Dantrium	C0010975
Carbamazepine Anhydrous	C5200991
Carbamazepine Sulfate (2:1)	C0887636
Carbamazepine Dihydrate	C0887641
Carbamazepine Phosphate	C0887637
Carbamazepine Hydrochloride	C0887638
Carbamazepine Acetate	C0887640
Carbamazepine L-Tartrate (4:1)	C0887639
Tegretol	C0700087
Finlepsin	C0700664
Carbazepin	C0700665
Neurotol	C0700663
Amizepine	C0700666
Blood Group H Type 1 Antigen	C0005805
Lewis Blood Group Related Antigens	C5197834
Sialyl Lewis Antigens	C5200804
Dihydan	C0600299
Phenhydan	C5545310
Epamin	C0699513
Hydantol	C0699514
Epanutin	C0700656
Antisacer	C0700657
Difenin	C0699511
Cerebrovase	C0591245
Persantine	C0700020
Curantil	C0701036
Miosen	C1569446
Novo-Dipiradol	C1569445
Cléridium	C1569447
Apo-Dipyridamole	C1569448
Antistenocardin	C0701039
gamma-Fibrinogen	C0017032
Adenosine Triphosphate, Magnesium Chloride	C0004221
Striadyne	C0701945
Atriphos	C0701946
Pancuronium Curamed	C1564000
Epitol	C0700667
Proterelin Tartrate Hydrate	C3661504
Abbott-38579	C0701790
Relefact TRH	C0699182
Thypinone	C0699184
Protirelin Tartrate (1:1)	C0040164
Stimu-TSH	C2713580
Thyroliberin	C2713581
TRH Prem	C2713579
Antepan	C2713578
Eltroxin	C0591440
levothyroxine sodium	C0079691
Euthyrox	C0720313
Levo-T	C0721340
Levoxyl	C0721346
Levothroid	C0721345
Dexnon	C1450012
L-Thyrox	C1450017
Thyrax	C1450019
Tiroxina Leo	C1450025
Synthroid	C0728762
Novothyral	C0733607
Levothyroid	C0733849
Eltroxine	C0733848
Levoxine	C0733850
Unithroid	C0939521
Eferox	C1450013
L-Thyroxine Roche	C1450016
Levothyroxin Deladande	C1450018
L-Thyroxin beta	C1450014
Levothyrox	C1450020
Synthrox	C1450023
L-Thyroxin Henning	C1450015
Berlthyrox	C1450011
Novothyrox	C1450021
liothyronine sodium	C0546882
Cytomel	C0010826
Taurine Zinc Salt (2:1)	C0969648
Taurine Hydrochloride	C0949433
Taurine, Monopotassium Salt	C0949434
Fluoresceins	C0016314
Tetraiodofluorescein	C0039681
Bile Acids and Salts	C0005391
Bilirubin, Calcium Salt	C0006678
Bilirubin, (15E)-Isomer	C0887593
Bilirubin, (4E)-Isomer	C0887594
Bilirubin, (4E,15E)-Isomer	C0887595
Hematoidin	C0018937
Bilirubin, Disodium Salt	C0949234
Bilirubin, Monosodium Salt	C0949235
Norepinephrine l-Tartrate (1:1), Monohydrate, (+)-Isomer	C0887101
Amineurin	C1448422
Anapsique	C1448425
Pavulon	C0030715
Levopa	C0700880
Dopar	C0720022
Larodopa	C0699991
Dopaflex	C1449995
Disopyramide, (+-)-Isomer	C0887383
Disopyramide Phosphate (1:1), (S)-Isomer	C0887388
Disopyramide Phosphate (1:1), (R)-Isomer	C0887389
Disopyramide, L-Tartrate (1:1), (S)-Isomer	C0887391
Disopyramide, L-Tartrate, (S)-isomer	C0887380
Disopyramide, L-Tartrate (1:2), (+-)-Isomer	C0887384
Disopyramide, (R)-Isomer	C0887385
Disopyramide, (S)-Isomer	C0887386
Disopyramide Phosphate (1:1), (+-)-Isomer	C0887387
Disopyramide, L-Tartrate (1:1), (R)-Isomer	C0887390
SC-13957	C0086167
disopyramide phosphate	C0700534
Palpitin	C0701128
Norpace	C0701129
Disopyramide, D-Tartrate (1:1), (S)-Isomer	C0916918
Disopyramide Monohydrochloride	C0949283
Ritmilen	C0733391
Rhythmodan	C0733390
Novocamid	C0600310
procainamide hydrochloride	C0600311
Pronestyl	C0392424
Procan	C0699067
Rhythmin	C1564213
